,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
2510,4.45,9,2,5,11,20,392,5.05,19.6,34,19,15,2,33,3,3,17.0,23.105263157894736,16.365064472217806,22.567466353328747,Exam2017_ESa_5_2.txt,3,2
2511,4.588235294117646,8,3,4,5,17,316,6.294117647058822,18.58823529411765,29,22,7,7,21,1,4,14.875,20.3125,14.165177010489511,19.11498831030081,Exam2014_ZEv_19_2.txt,2,2
2513,3.947368421052632,6,0,3,12,19,389,6.315789473684211,20.473684210526315,38,25,13,8,31,2,2,15.166666666666664,20.277777777777786,16.330179329566587,21.89890071348405,Exam2014_EPa_63_2.txt,3,2
2515,3.2142857142857144,7,1,0,2,14,173,4.142857142857143,12.357142857142858,14,12,2,7,23,0,1,12.076923076923077,14.076923076923077,11.630061605061606,14.046996379688688,Exam2014_EEm_18_2.txt,8,2
2519,3.736842105263158,5,2,4,11,19,290,3.8947368421052633,15.26315789473684,31,19,12,3,14,2,3,11.22222222222222,15.333333333333336,11.569310409996683,16.03128553998652,Exam2016_ZEv_48_2.txt,3,2
2522,3.652173913043478,8,0,4,13,23,393,6.608695652173912,17.08695652173913,42,22,20,7,18,0,6,16.272727272727273,20.0,16.925937128512412,20.817994662676973,Exam2014_EPa_52_2.txt,4,2
2526,2.6,6,0,1,3,5,95,5.8,19.0,9,4,5,3,3,1,1,15.25,21.75,14.708333333333332,19.45833333333333,Exam2017_OBy_125_2.txt,3,2
2530,6.090909090909091,10,3,6,5,11,321,7.272727272727272,29.181818181818183,30,14,16,8,19,1,3,24.9,31.7,24.523611111111112,31.33773809523809,Exam2019_ABu_72_2.txt,2,2
2531,4.9230769230769225,9,3,4,7,13,324,8.153846153846152,24.923076923076927,24,15,9,14,21,4,1,23.08333333333333,30.0,21.77337962962963,28.71269540644541,Exam2014_MBi_24_2.txt,1,2
2533,5.0,12,0,8,10,12,339,7.833333333333332,28.25,31,18,13,8,18,3,6,22.90909090909091,29.272727272727277,24.36583366128821,31.77378984651712,Exam2014_VPe_33_2.txt,3,2
2534,5.909090909090909,9,2,2,7,11,336,6.727272727272728,30.54545454545455,25,15,10,5,23,0,3,22.2,31.3,29.9840873015873,39.47329365079365,Exam2014_MTsy_42_2.txt,2,2
2537,4.090909090909091,7,2,3,4,11,183,4.909090909090909,16.636363636363637,18,12,6,3,13,0,2,12.6,17.2,13.131984126984127,18.394523809523808,Exam2016_MTsy_18_2.txt,3,2
2538,4.75,8,2,7,9,20,463,5.75,23.15,44,32,12,14,27,1,6,20.105263157894736,25.421052631578952,21.155700123614007,27.29123376623377,Exam2019_ABu_180_2.txt,1,2
2539,3.75,10,0,7,8,16,319,7.75,19.9375,35,23,12,3,20,6,1,18.066666666666663,22.53333333333333,17.741075776075775,22.54344747844748,Exam2014_ZEv_15_2.txt,2,2
2540,4.9375,9,2,2,3,16,292,4.3125,18.25,35,25,10,7,18,3,2,15.4,20.33333333333333,17.356184001184,23.07182687682688,Exam2017_EGe_114_2.txt,1,2
2541,4.6,7,0,9,8,20,394,5.95,19.7,48,33,15,11,29,5,2,17.63157894736842,21.78947368421053,16.644360254061652,20.87870601914516,Exam2017_EGe_194_2.txt,3,2
2543,4.411764705882354,11,2,6,3,17,328,6.294117647058822,19.294117647058822,21,17,4,15,33,3,5,15.125,20.375,18.18279003982129,24.111835473554223,Exam2017_ESa_23_2.txt,1,2
2544,4.9230769230769225,7,3,1,6,13,278,8.0,21.384615384615387,21,14,7,14,18,0,1,15.833333333333336,22.75,15.229948292448292,22.11674482924483,Exam2019_ABu_210_2.txt,1,2
2545,3.5294117647058822,6,0,6,5,17,344,4.235294117647058,20.23529411764705,32,25,7,6,20,3,2,16.3125,21.625,17.410165182040178,22.93293381965257,Exam2016_MTsy_14_2.txt,2,2
2546,5.0,10,2,3,19,20,475,5.8,23.75,40,16,24,17,34,0,4,21.947368421052627,28.421052631578952,21.42006583480431,27.52625931475329,Exam2019_ABu_51_2.txt,9,2
2547,3.25,6,0,1,7,20,400,8.35,20.0,35,22,13,9,27,0,2,18.73684210526316,23.894736842105264,18.55717086400645,24.0657208386005,Exam2014_EEm_10_2.txt,5,2
2550,3.9230769230769234,10,0,2,4,13,304,7.6923076923076925,23.384615384615387,28,23,5,13,16,0,2,21.416666666666668,26.66666666666667,22.102549302549303,28.194618807118808,Exam2017_OBy_115_2.txt,4,2
2552,4.375,9,0,2,7,16,362,5.375,22.625,40,28,12,5,27,1,3,20.133333333333333,26.466666666666665,22.48944943944944,28.880501165501165,Exam2017_VSa_79_2.txt,1,2
2556,4.538461538461538,10,2,3,6,13,288,5.9230769230769225,22.153846153846157,31,21,10,8,12,2,4,21.166666666666668,26.33333333333333,19.344044612794608,25.149777537277537,Exam2017_EGe_75_2.txt,2,2
2560,3.2142857142857144,6,0,0,6,14,269,5.285714285714286,19.214285714285715,30,17,13,6,9,1,3,16.23076923076923,21.846153846153847,16.199055218285988,20.666089466089467,Exam2017_DPe_72_2.txt,2,2
2562,4.352941176470588,9,3,6,2,17,311,5.294117647058823,18.294117647058822,31,27,4,7,19,5,0,14.125,19.5,14.639680371711624,19.97270472582973,Exam2016_JSl_94_2.txt,3,2
2564,4.4,7,2,2,3,15,317,6.533333333333332,21.133333333333333,35,26,9,8,25,1,0,18.357142857142858,23.07142857142857,17.37083214404643,22.36527757956329,Exam2017_EGe_173_2.txt,1,2
2565,4.785714285714286,8,2,7,13,14,328,5.785714285714287,23.42857142857143,23,9,14,8,23,5,1,18.23076923076923,24.84615384615385,19.92176989676989,26.851058983751287,Exam2016_EKu_133_2.txt,1,2
2569,5.230769230769232,9,2,9,4,13,295,7.230769230769232,22.69230769230769,27,20,7,8,11,3,4,19.33333333333333,24.33333333333333,19.39392736892737,25.22693302068302,Exam2014_KKo_10_2.txt,1,2
2570,3.8125,6,2,2,3,16,269,4.6875,16.8125,28,24,4,7,17,0,3,15.466666666666669,19.53333333333333,17.470895770895773,21.909685684685684,Exam2017_OBy_128_2.txt,6,2
2572,6.2727272727272725,12,3,4,6,11,303,8.090909090909092,27.54545454545455,28,15,13,13,16,2,3,26.5,33.1,25.295793650793648,31.699444444444445,Exam2016_OR_93_2.txt,1,2
2573,5.071428571428571,7,3,2,7,14,345,5.5,24.642857142857142,26,17,9,9,25,1,3,21.69230769230769,28.84615384615385,19.521704364012056,25.37361698130929,Exam2017_OBy_55_2.txt,2,2
2578,4.666666666666667,8,2,3,1,12,223,2.9166666666666665,18.58333333333333,18,15,3,5,20,0,4,16.727272727272727,21.727272727272727,15.728122130394857,21.19433949888495,Exam2017_VSa_19_2.txt,1,2
2579,4.45,7,3,11,13,20,395,7.55,19.75,39,24,15,12,23,8,3,15.473684210526311,20.684210526315788,15.244158727906894,21.096606445850785,Exam2016_JSl_76_2.txt,1,2
2580,4.75,7,2,4,9,16,313,5.4375,19.5625,30,17,13,9,19,2,4,15.2,20.53333333333333,15.805214230214233,20.493136308136307,Exam2017_DPe_33_2.txt,2,2
2581,4.833333333333333,9,2,8,9,18,351,6.5,19.5,27,19,8,8,25,4,4,16.0,21.23529411764705,15.961358705692616,20.8220817052997,Exam2019_ABu_154_2.txt,1,2
2583,5.727272727272728,11,2,3,6,11,295,4.2727272727272725,26.818181818181817,27,17,10,12,16,1,4,23.0,29.4,23.700476190476195,30.71218253968254,Exam2017_DPe_3_2.txt,3,2
2584,4.5555555555555545,10,0,1,9,18,421,4.333333333333333,23.38888888888889,37,24,13,17,21,0,0,22.470588235294123,28.411764705882355,24.191205800159093,30.25282208180132,Exam2019_ABu_218_2.txt,3,2
2586,6.0,11,3,6,7,13,313,3.0,24.07692307692308,27,18,9,7,19,5,1,17.833333333333332,26.25,17.138437950937952,25.843969456469456,Exam2016_JSl_95_2.txt,5,2
2589,4.928571428571429,9,2,5,4,14,288,4.857142857142857,20.571428571428573,28,21,7,7,20,0,6,17.615384615384613,24.0,17.405561959408118,24.106617314309627,Exam2017_JSl_175_2.txt,7,2
2590,4.777777777777779,11,2,5,5,18,354,4.666666666666667,19.666666666666668,34,28,6,8,29,4,6,15.0,22.294117647058822,14.6415826868249,20.967755504779728,Exam2017_DOv_8_2.txt,1,2
2591,4.642857142857143,7,2,2,11,14,324,6.571428571428571,23.142857142857142,39,21,18,7,14,1,4,20.384615384615387,26.0,19.4932902567518,24.97040929156314,Exam2019_ABu_57_2.txt,3,2
