,av_depth,max_depth,min_depth,num_acl,num_advcl,num_sent,num_tok,av_tok_before_root,av_len_sent,num_cl,num_tu,num_compl_tu,num_coord,num_adj_noun,num_part_noun,num_noun_inf,pos_sim_nei,lemma_sim_nei,pos_sim_all,lemma_sim_all,name,errors,type
1218,5.0,9,0,10,8,18,394,6.111111111111112,21.88888888888889,29,21,8,10,20,5,6,17.705882352941178,23.411764705882355,17.020870109321667,22.98660062544145,Exam2016_EKu_113_1.txt,1,1
1221,5.0,10,3,2,0,9,182,5.111111111111111,20.222222222222214,9,7,2,3,9,2,1,13.25,17.75,13.013244047619049,17.562202380952378,Exam2016_JSl_21_1.txt,11,1
1225,3.5,6,2,1,1,12,194,2.75,16.166666666666668,16,14,2,6,6,2,0,15.090909090909092,17.0,14.440797586252136,17.05515873015873,Exam2017_ABl_21_1.txt,1,1
1226,3.7,6,2,1,0,10,158,6.4,15.8,10,9,1,4,12,1,0,12.666666666666664,16.22222222222222,15.356834215167549,19.04616402116402,Exam2017_ESa_32_1.txt,1,1
1229,5.4444444444444455,8,3,8,1,9,252,7.666666666666668,28.0,19,14,5,3,17,6,0,22.25,27.75,21.267857142857142,27.47708333333333,Exam2017_VSa_5_1.txt,2,1
1230,3.0909090909090917,6,0,0,0,11,172,4.818181818181818,15.636363636363637,15,14,1,3,9,0,0,14.0,16.2,14.9959126984127,17.742539682539686,Exam2017_OBy_124_1.txt,3,1
1231,4.333333333333333,6,3,9,1,9,181,7.888888888888888,20.11111111111111,13,10,3,9,9,9,0,15.5,20.5,16.65282738095238,21.50059523809524,Exam2017_OBy_59_1.txt,5,1
1234,3.727272727272727,7,0,1,3,11,217,6.0,19.727272727272727,15,11,4,7,10,1,0,15.6,20.2,15.120793650793653,19.187261904761904,Exam2014_EPa_82_1.txt,2,1
1235,4.090909090909091,10,2,5,8,11,253,5.363636363636363,23.0,18,10,8,4,7,4,0,26.0,30.7,22.1838492063492,26.71019841269841,Exam2017_VSa_56_1.txt,6,1
1236,5.166666666666667,7,4,6,6,12,327,6.916666666666668,27.25,23,16,7,0,27,6,0,20.181818181818183,27.54545454545455,21.812747605929427,29.285406008133283,Exam2017_EGe_124_1.txt,4,1
1238,4.363636363636363,6,2,2,2,11,246,5.090909090909091,22.363636363636363,16,11,5,5,7,1,2,19.2,23.0,19.47765873015873,23.418531746031743,Exam2017_OBy_125_1.txt,3,1
1240,4.0,9,0,2,5,9,219,9.666666666666666,24.33333333333333,15,10,5,1,10,0,1,17.75,24.125,16.885119047619053,23.08199404761905,Exam2016_MTsy_51_1.txt,6,1
1241,4.625,10,2,4,1,8,181,3.0,22.625,14,11,3,4,8,4,0,18.142857142857142,24.57142857142857,18.24251700680272,23.964625850340127,Exam2016_JSl_125_1.txt,1,1
1243,4.181818181818182,7,2,1,1,11,180,4.454545454545454,16.363636363636363,19,16,3,4,8,0,2,12.3,16.7,13.631785714285714,17.651626984126985,Exam2016_ZEv_31_1.txt,1,1
